# SDSSJID, ra, dec, z, g_last_phot, ge_last_phot, obsflag, FESflag, FEStargflag, CLQflag, radioflag, logL5100, logMBH, logEdd_ratio, LOGL_OIII_5007
120510.23+333532.2  181.292630   33.592297  0.299  19.517  0.027  0  1    TDSS_FES_HYPQSO  0  0   44.272   8.67   -1.53 42.433
120555.34+424149.5  181.480620   42.697086  0.375  20.711  0.056  1  0                N/A  0  0   44.283   7.95   -0.80 41.811
120710.25+000806.1  181.792710    0.135053  0.383  20.553  0.046  0  0                N/A  0  0   44.280   8.75   -1.60 41.519
121033.30-011755.6  182.638790   -1.298785  0.542  19.594  0.033  0  0                N/A  0  0   44.877   9.13   -1.39 42.066
121517.19+551235.5  183.821650   55.209885  0.313  19.365  0.021  1  1    TDSS_FES_NQHISN  0  0   44.546   8.84   -1.43 42.017
121739.24+430734.7  184.413500   43.126331  0.648  20.420  0.046  0  1    TDSS_FES_HYPQSO  0  0   44.308   8.41   -1.23 41.856
122007.38+022431.6  185.030750    2.408781  0.159  19.093  0.017  1  0                N/A  0  0   44.055   8.24   -1.32 41.831
122009.55-013201.1  185.039800   -1.533649  0.287  20.187  0.036  1  0                N/A  0  0   44.122   8.72   -1.73 41.529
122018.43+064119.6  185.076820    6.688783  0.286  19.041  0.018  1  0                N/A  0  0   44.590   9.06   -1.60 41.689
122843.07+104059.2  187.179470   10.683124  0.375  20.421  0.045  1  0                N/A  0  0   44.227   8.41   -1.31 41.716
123228.08+141558.7  188.117010   14.266317  0.427  20.584  0.063  1  0                N/A  0  0   44.304   8.58   -1.41 42.402
123248.32+134945.1  188.201330   13.829220  0.505  19.139  0.021  0  0                N/A  0  0   44.820   9.48   -1.80 42.204
123359.12+084211.5  188.496370    8.703220  0.255  20.308  0.040  1  0                N/A  1  0   43.984   7.91   -1.06  0.000
123523.91+344321.5  188.849660   34.722660  0.597  21.535  0.136  0  0                N/A  0  0   43.948   8.65   -1.84 41.777
123658.10+455354.4  189.242120   45.898460  0.235  19.635  0.032  0  0                N/A  0  0   43.886   8.30   -1.54 41.803
124210.41+115223.8  190.543390   11.873289  0.298  20.703  0.060  1  0                N/A  0  0   44.031   8.41   -1.51 41.495
124259.98+450411.2  190.749920   45.069786  0.467  20.787  0.067  0  0                N/A  0  0   44.141   7.98   -0.97 41.654
124523.22+584047.0  191.346760   58.679741  0.611  21.599  0.168  0  1    TDSS_FES_HYPQSO  0  0   44.325   8.35   -1.16 41.755
124805.45+514415.1  192.022730   51.737549  0.774  20.799  0.057  0  0                N/A  0  0   44.745   8.66   -1.34 42.952
125111.97+134717.9  192.799910   13.788332  0.460  21.312  0.157  0  0                N/A  0  0   44.354   9.24   -2.02 41.215
125444.95+035020.8  193.687310    3.839125  0.394  19.616  0.026  0  0                N/A  0  0   44.676   8.65   -1.11 42.211
125448.27+293240.3  193.701160   29.544540  0.628  21.212  0.097  0  1    TDSS_FES_HYPQSO  0  0   44.478   8.68   -1.34 42.488
130430.57+433343.5  196.127390   43.562088  0.502  20.847  0.071  0  0                N/A  0  0   44.665   8.57   -1.04 42.318
132457.29+480241.2  201.238730   48.044792  0.272  19.697  0.030  1  0                N/A  1  0   44.336   8.51   -1.30 41.821
132743.53+654651.7  201.931400   65.781052  0.451  21.831  0.153  0  0                N/A  0  0   44.178   8.65   -1.60 41.064
132815.50+223823.8  202.064620   22.639973  0.486  20.728  0.059  1  0                N/A  0  0   44.420   8.76   -1.47 41.721
132931.37+202723.1  202.380740   20.456434  0.231  20.184  0.048  1  1    TDSS_FES_HYPQSO  0  0   43.867   8.22   -1.48 41.950
132935.42+221610.4  202.397610   22.269573  0.290  21.277  0.100  0  0                N/A  0  0   44.191   8.12   -1.06 41.505
133016.10+525101.8  202.567110   52.850521  0.162  15.908  0.026  1  1        TDSS_FES_DE  0  0   44.309   8.92   -1.74 41.757
133223.55+184110.8  203.098160   18.686350  0.513  21.471  0.135  0  0                N/A  0  0   44.121   8.67   -1.68 41.456
133420.03+063832.7  203.583490    6.642442  0.536  17.961  0.010  1  0                N/A  0  0   44.834   9.47   -1.77 42.846
133952.36+062528.2  204.968170    6.424513  0.335  20.692  0.071  0  0                N/A  0  0   43.985   8.27   -1.42 42.070
134104.40+671337.1  205.268340   67.226990  0.551  20.414  0.042  1  0                N/A  0  0   44.317   8.48   -1.30 42.095
134402.37+110550.4  206.009900   11.097340  0.385  19.651  0.027  0  0                N/A  0  0   44.326   8.32   -1.13 41.863
134418.69+034649.3  206.077910    3.780365  0.327  19.643  0.033  1  0                N/A  0  0   44.269   8.29   -1.16 42.034
134438.37+053711.4  206.159890    5.619848  0.396  20.384  0.055  0  0                N/A  0  0   44.286   8.23   -1.08 42.219
134551.66+425755.3  206.465270   42.965366  0.451  20.326  0.050  0  0                N/A  0  0   44.516   9.70   -2.32 42.158
134855.57+255854.3  207.231550   25.981773  0.480  19.949  0.024  0  0                N/A  0  0   44.480   8.42   -1.08 41.946
134926.68+214132.6  207.361170   21.692392  0.641  20.086  0.038  0  1    TDSS_FES_HYPQSO  0  0   44.530   7.87   -0.47 42.456
135415.36+594051.8  208.564040   59.681080  0.612  18.686  0.015  0  0                N/A  0  0   44.538   8.39   -0.99 42.035
140325.35+011338.6  210.855640    1.227415  0.255  20.130  0.046  0  0                N/A  0  0   44.092   8.49   -1.53 41.105
140337.55+043126.2  210.906470    4.523956  0.538  20.115  0.039  0  0                N/A  0  0   44.694   8.48   -0.92 42.008
140506.21+171707.9  211.275880   17.285534  0.340  19.238  0.020  1  1        TDSS_FES_DE  0  0   44.714   9.44   -1.86 42.312
140914.75+183126.8  212.311500   18.524113  0.410  19.956  0.034  0  0                N/A  0  0   44.263   8.41   -1.28 41.796
140935.07-010446.6  212.396140   -1.079626  0.639  20.227  0.040  0  0                N/A  0  0   44.446   8.40   -1.08 41.582
141213.61+021202.1  213.056740    2.200594  0.295  19.166  0.023  1  0                N/A  0  0   44.287   9.40   -2.24 42.432
142046.16+304406.9  215.192370   30.735254  0.624  20.037  0.031  0  0                N/A  0  0   44.592   8.85   -1.39 42.108
142308.36+372359.5  215.784840   37.399883  0.511  20.534  0.051  0  0                N/A  0  0   44.230   8.05   -0.96 41.678
142310.49+045455.0  215.793730    4.915297  0.608  20.320  0.049  0  0                N/A  0  0   44.648   8.83   -1.32 41.877
143101.65-004251.6  217.756890   -0.714354  0.334  20.429  0.066  1  0                N/A  0  0   44.285   8.79   -1.64 42.140
143233.52+065044.6  218.139680    6.845744  0.583  20.707  0.076  0  0                N/A  0  0   44.707   8.33   -0.76 42.479
143233.96-012145.4  218.141530   -1.362622  0.521  20.012  0.049  0  0                N/A  0  0   44.791   9.20   -1.54 42.297
143428.58+591728.7  218.619080   59.291309  0.534  21.138  0.179  0  0                N/A  0  0   44.121   7.96   -0.97 42.251
143455.31+572345.0  218.730480   57.395855  0.175  18.913  0.015  1  1        TDSS_FES_DE  1  0   44.141   8.88   -1.87 41.524
143921.55+343412.1  219.839810   34.570034  0.602  20.046  0.040  0  1    TDSS_FES_HYPQSO  0  0   44.886   9.02   -1.27 42.247
144702.87+273746.7  221.761970   27.629642  0.224  19.883  0.034  1  1        TDSS_FES_DE  1  0   44.058   9.05   -2.13 42.056
145026.65+583944.9  222.611060   58.662479  0.210  17.938  0.011  1  0                N/A  0  0   44.159   8.26   -1.23 41.802
145339.24+220655.7  223.413520   22.115492  0.500  20.712  0.060  0  0                N/A  0  0   44.274   8.03   -0.89 43.020
145403.79+591801.5  223.515800   59.300434  0.303  20.363  0.064  1  0                N/A  0  0   44.230   7.89   -0.80 41.516
145519.88+364800.4  223.832840   36.800114  0.525  20.565  0.051  1  0                N/A  0  0   44.565   8.58   -1.15 41.631
150431.10+263259.9  226.129600   26.549990  0.507  20.604  0.053  0  1    TDSS_FES_HYPQSO  0  0   44.285   8.22   -1.07 42.154
151307.39+035659.0  228.280820    3.949738  0.355  21.719  0.176  0  0                N/A  0  0   44.176   9.02   -1.98 41.741
151341.69+294710.2  228.423710   29.786188  0.597  21.369  0.143  0  1    TDSS_FES_HYPQSO  0  0   44.479   8.42   -1.08 42.473
151400.08+332049.8  228.500370   33.347187  0.513  20.907  0.088  0  0                N/A  0  0   44.387   8.87   -1.61 42.300
151418.48+081525.9  228.577020    8.257216  0.344  20.664  0.061  1  0                N/A  0  0   44.120   8.34   -1.36 41.835
151604.24+355024.8  229.017670   35.840225  0.592  19.507  0.038  1  0                N/A  0  0   44.989   8.91   -1.06 42.594
151910.46+351430.0  229.793590   35.241692  0.636  20.627  0.086  0  1    TDSS_FES_HYPQSO  0  0   44.409   7.82   -0.54 42.320
152044.63+394930.3  230.186000   39.825092  0.439  20.985  0.119  1  0                N/A  0  0   44.272   8.52   -1.38 42.086
153142.08+132834.5  232.925340   13.476277  0.398  20.447  0.058  1  0                N/A  0  0   44.317   9.41   -2.23 42.107
153240.87+433225.2  233.170310   43.540356  0.388  20.157  0.041  0  0                N/A  0  0   44.379   8.58   -1.33 41.416
153612.80+034245.7  234.053330    3.712718  0.365  19.490  0.026  1  0                N/A  1  0   44.736   8.83   -1.23 41.956
153728.69+012030.4  234.369570    1.341781  0.336  20.500  0.043  1  0                N/A  0  0   44.344   8.02   -0.80 41.896
153734.06+461358.9  234.391950   46.233028  0.378  20.529  0.056  1  0                N/A  1  0   44.356   8.51   -1.29 41.480
153912.76+524540.2  234.803170   52.761185  0.415  21.220  0.101  1  0                N/A  0  0   44.300   8.33   -1.16 41.554
153926.83+200256.6  234.861800   20.049067  0.473  20.713  0.064  0  0                N/A  0  0   44.441   8.91   -1.60 41.559
154304.76+053929.2  235.769870    5.658132  0.539  21.297  0.084  0  0                N/A  0  0   44.019   8.43   -1.54 41.522
154318.39+513042.9  235.826670   51.511917  0.402  21.163  0.102  1  0                N/A  0  0   44.262   9.08   -1.96 41.966
154341.64+385319.3  235.923500   38.888721  0.432  20.092  0.036  1  1        TDSS_FES_DE  0  0   44.460   9.09   -1.76 42.033
154642.82+035054.5  236.678440    3.848490  0.577  22.645  0.111  0  0                N/A  0  0   43.945   8.88   -2.07 41.933
154852.67+534248.1  237.219480   53.713371  0.492  20.702  0.071  0  0                N/A  0  0   44.152   9.07   -2.05 41.798
